42;1;0;0.41;0.05;0.96;0.01;0.01;0.37;0.37;0.24;0.55;0.01;0.58;0.23;0.34;0.33;0.51;0.7;0.36;0.87;0.24;0.22;0.21;0.24;0.15;0;0;0.31;0.01;0.28;0.27;0.38;0.19;0.72;0.25;0.39;0.35;0.49;0.34;0.31;0.29;0.27;0.3;0.41;0.76;0.74;0.83;0.89;0.45;0.31;0;0.06;0;0;0;0;0;0;0;0;0;0.94;0.02;0.1;0.12;0.46;0.45;0.41;0.83;0.04;0.42;0.5;0.01;0.75;0.83;0.31;0.84;0.44;0.05;0.18;0.08;0.09;0.1;0.06;0.12;0.15;0.2;0.19;0.2;0.28;0;0;0.02;0.98;0.91;0.78;0.93;0.09;0.03;0.05;0;0.03
54;1;0.01;0.27;0.43;0.64;0.08;0.01;0.36;0.33;0.22;0.74;0;0;0.12;0.1;0.11;0.39;0.84;0.48;0.82;0.21;0.25;0.27;0.16;0.28;1;0;0.86;0.03;0.57;0.46;0.49;0.3;0.54;0.13;0.05;0.77;0.18;0.57;0.61;0.33;0.58;0.63;0.35;0.41;0.44;0.42;0.55;0.23;0.4;0.01;0.29;0;0.1;0.1;0.13;0.14;0.01;0.01;0.01;0.01;0.94;0.03;0.16;0.13;0.26;0.26;0.3;0.53;0.07;0.53;0.5;0.06;0.5;0.54;0.3;0.85;0.29;0.48;0.22;0.07;0.07;0.09;0.1;0.14;0.16;0.15;0.62;0.36;0.26;0.01;0;0.05;0.82;0.68;0.79;0.78;0.02;0.17;0;0;0.49
1;1;0.01;0.3;0;0.99;0.02;0.01;0.38;0.37;0.27;0.74;0;0;0.16;0.24;0.24;0.41;0.73;0.53;0.49;0.21;0.25;0.24;0;0.12;0.29;0;0.04;0.02;0.45;0.62;0.61;0.26;0.24;0.27;0.45;0.37;0.5;0.42;0.54;0.22;0.54;0.57;0.28;0.63;0.63;0.75;0.6;0.35;0.54;0;0.05;0;1;0.81;0.87;0.74;0.02;0.01;0.02;0.01;0.98;0.02;0.06;0.06;0.27;0.33;0.23;0.53;0.05;0.46;0.5;0.01;0.8;0.5;0.1;0.38;0.54;0.37;0.07;0.1;0.1;0.11;0.06;0.09;0.11;0.12;0.58;0.25;0.28;0;0;0;0.82;0.54;0.72;0.76;0.04;0.07;0.01;0;0.16
1;1;0;0.45;1;0;0.01;0;0.43;0.41;0.27;0.57;0.02;1;0.16;0.38;0.1;0.16;0.71;0.44;0.61;0.19;0.16;0.23;0.23;0.27;0.69;0;0.16;0.02;0.54;0.39;0.5;0.26;0.56;0.33;0.27;0.66;0.45;0.35;0.58;0.42;0.66;0.66;0.52;0.3;0.31;0.38;0.24;0.81;0.83;0.01;0.39;0;0;0.24;0.2;0.63;0;0.01;0.01;0.02;0.95;0.02;0.33;0.31;0.45;0.47;0.44;0.56;0.14;0.5;0.5;0.02;0.66;0.55;0.67;0.44;0.38;0.3;0.23;0.07;0.07;0.08;0.03;0.11;0.13;0.15;0.49;0.39;0.49;0;0.01;0.01;0.93;0.69;0.88;0.82;0.01;0.3;0.15;0;0.8
33;1;0.01;0.35;0.01;0.98;0.03;0.01;0.39;0.44;0.28;0.55;0;0;0.23;0.45;0.05;0.45;0.6;0.38;0.6;0.24;0.22;0.21;0.34;0.13;0.13;0;0.52;0.02;0.34;0.41;0.57;0.17;0.47;0.44;0.72;0.37;0.76;0.31;0.58;0.32;0.5;0.56;0.4;0.57;0.6;0.44;0.71;0.6;0.65;0.01;0.23;0;0.21;0.19;0.15;0.18;0.05;0.04;0.03;0.03;0.9;0.05;0.15;0.14;0.37;0.43;0.34;0.51;0.08;0.6;0;0.03;0.59;0.49;0.17;0.45;0.25;0.64;0.43;0.18;0.17;0.15;0.25;0.31;0.34;0.29;0.59;0.74;0.69;0;0;0.1;0.6;0.47;0.71;0.58;0.12;0.03;0.02;0;0.12
39;1;0;0.47;0.02;0.99;0.01;0;0.45;0.54;0.35;0.34;0.02;1;0.23;0.49;0.3;0.28;0.5;0.49;0.53;0.24;0.18;0.17;0.41;0.05;0.18;0;0.32;0.02;0.43;0.63;0.7;0.08;0.53;0.38;0.78;0.17;0.77;0.15;0.55;0.28;0.63;0.62;0.47;0.59;0.6;0.46;0.6;0.31;0.4;0;0.12;0;0.29;0.22;0.18;0.27;0.01;0.01;0.01;0.01;0.97;0.02;0.18;0.19;0.5;0.51;0.5;0.51;0.1;0.47;0.5;0.01;0.9;0.52;0.39;0.43;0.44;0.41;0.07;0.1;0.09;0.08;0.14;0.18;0.19;0.21;0.45;0.21;0.29;0;0;0.02;0.72;0.6;0.67;0.84;0.02;0.11;0.01;0;0.1
29;1;0;0.36;0.04;0.93;0.1;0.01;0.34;0.38;0.23;0.69;0;0;0.14;0.31;0.42;0.45;0.73;0.27;0.44;0.16;0.19;0.19;0.28;0.16;0.06;0;0.2;0.01;0.31;0.45;0.53;0.18;0.32;0.32;0.78;0.24;0.81;0.27;0.51;0.3;0.51;0.53;0.38;0.66;0.66;0.67;0.49;0.5;0.53;0;0.04;0;0.45;0.37;0.6;0.62;0.06;0.04;0.06;0.06;0.97;0.03;0.2;0.18;0.32;0.31;0.37;0.66;0.09;0.51;0.5;0.02;0.64;0.67;0.04;0.6;0.21;0.56;0.13;0.03;0.03;0.03;0.09;0.11;0.11;0.12;0.23;0.22;0.24;0;0;0.05;0.68;0.59;0.77;0.74;0.02;0.14;0.01;0;0.06
44;1;0;0.45;0.01;0.97;0.08;0.01;0.39;0.34;0.24;0.36;0.01;0.66;0.65;0.62;0.08;0.74;0.43;0.22;0.54;0.71;0.72;0.7;0.28;0.86;0.68;0;0.49;0;0.11;0.09;0.15;0.72;0.21;0.57;0.39;0.51;0.14;0.71;0.33;0.36;0.3;0.32;0.52;0.81;0.87;0.73;0.86;0.11;0.25;0;0.11;0;0.13;0.2;0.19;0.24;0.04;0.05;0.05;0.06;0.89;0.04;0.15;0.15;0.48;0.6;0.12;0.8;0.03;0.33;0.5;0.01;0.84;0.7;0.21;0.48;0.54;0.05;0.28;0.51;0.61;0.69;0.33;0.44;0.53;0.41;0.6;0.54;0.43;0;0;0.13;0.54;0.63;0.54;0.52;0.05;0.06;0.1;0;0.03
45;1;0;0.45;0.28;0.76;0.06;0.02;0.43;0.48;0.28;0.2;0.02;1;0.49;0.81;0.12;0.46;0.28;0.11;0.3;0.47;0.38;0.39;0.33;0.09;0.34;0;0.37;0;0.08;0.13;0.18;0.45;0.11;0.79;0.68;0.29;0.42;0.57;0.31;0.3;0.45;0.41;0.48;0.78;0.79;0.8;0.78;0.81;0.74;0;0.16;0;0;0;0.27;0.28;0;0;0.02;0.02;0.96;0.01;0.13;0.15;0.5;0.59;0.28;0.69;0.04;0.32;0.5;0.01;0.81;0.63;0.07;0.22;0.79;0.12;0;0.18;0.16;0.15;0.29;0.29;0.33;0.3;0.16;0.35;0.08;0;0;0.04;0.48;0.43;0.53;0.36;0.02;0.14;0;0;0.09
39;1;0;0.39;0.03;0.98;0.02;0;0.3;0.32;0.18;0.62;0;0;0.27;0.43;0.11;0.52;0.56;0.29;0.61;0.28;0.26;0.24;0.34;0.15;0.93;0;1;0.01;0.19;0.29;0.37;0.21;0.42;0.34;0.6;0.44;0.55;0.4;0.4;0.21;0.42;0.43;0.37;0.7;0.73;0.83;0.81;0.48;0.5;0;0.04;0;0;0;0;0;0;0;0;0;0.97;0.01;0.12;0.12;0.37;0.4;0.3;0.71;0.03;0.4;0.5;0.01;0.85;0.69;0.15;0.42;0.21;0.28;0.24;0.09;0.09;0.09;0.18;0.18;0.21;0.17;0.33;0.25;0.19;0;0;0.05;0.9;0.69;0.87;0.87;0.01;0.2;0.02;0;0.03
